company,ticker,year,quarter,filename,filepath
AMD,AMD,2017,4,2017_Q4_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2017_Q4_amd_processed.txt
AMD,AMD,2018,1,2018_Q1_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2018_Q1_amd_processed.txt
AMD,AMD,2018,2,2018_Q2_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2018_Q2_amd_processed.txt
AMD,AMD,2018,3,2018_Q3_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2018_Q3_amd_processed.txt
AMD,AMD,2018,4,2018_Q4_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2018_Q4_amd_processed.txt
AMD,AMD,2019,1,2019_Q1_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2019_Q1_amd_processed.txt
AMD,AMD,2019,2,2019_Q2_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2019_Q2_amd_processed.txt
AMD,AMD,2019,3,2019_Q3_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2019_Q3_amd_processed.txt
AMD,AMD,2019,4,2019_Q4_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2019_Q4_amd_processed.txt
AMD,AMD,2020,1,2020_Q1_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2020_Q1_amd_processed.txt
AMD,AMD,2020,2,2020_Q2_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2020_Q2_amd_processed.txt
AMD,AMD,2020,3,2020_Q3_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2020_Q3_amd_processed.txt
AMD,AMD,2020,4,2020_Q4_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2020_Q4_amd_processed.txt
AMD,AMD,2021,1,2021_Q1_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2021_Q1_amd_processed.txt
AMD,AMD,2021,2,2021_Q2_amd_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AMD/2021_Q2_amd_processed.txt
